"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000172020",22.4002731921279,-3.1250405459548,1.02659282737731,-3.04408959678638,0.00233385621872047,0.299373975514789
"ENSG00000241956",4530.65069478263,2.31387761030583,0.757746001011354,3.05363222929256,0.00226089059960099,0.299373975514789
"ENSG00000153157",34.1849298838357,-3.41411122475496,1.11924324371351,-3.05037465620733,0.00228556059049002,0.299373975514789
"ENSG00000228223",409.121403049855,1.4915699416263,0.488836895861426,3.05126301687573,0.00227880858917218,0.299373975514789
"ENSG00000197283",48.116252145306,1.9556542048535,0.643174971003916,3.04062547987676,0.00236087294318463,0.299373975514789
"ENSG00000262655",40.6812631920905,2.66234719543742,0.874921621965987,3.04295508145634,0.00234267299051087,0.299373975514789
"ENSG00000083642",322.642088694604,1.0560291689476,0.346442109974412,3.04821249652822,0.00230207077541922,0.299373975514789
"ENSG00000159753",40.1533865849315,-3.63928765574465,1.18950648411206,-3.0594937516976,0.00221711412437988,0.299373975514789
"ENSG00000198832",90.4030769302573,-2.45008907478308,0.805829654550775,-3.04045533810607,0.00236220723103306,0.299373975514789
"ENSG00000163359",66.3654747878743,-3.14531847529004,1.03685717366357,-3.03351180392238,0.00241725254485017,0.304046750547357
"ENSG00000135763",188.098738712713,1.07304193952771,0.354108217994566,3.03026556572086,0.00244338792282333,0.305040571350085
"ENSG00000185565",68.6914239731858,2.02048360348712,0.668605093977505,3.02193869249088,0.00251161411005246,0.306691915672026
"ENSG00000101825",34.5982686793006,-2.84229865107265,0.940553570546731,-3.02194233276948,0.00251158390642863,0.306691915672026
"ENSG00000099725",149.507946051496,-8.61024837740502,2.84892914154377,-3.02227537071677,0.00250882207459234,0.306691915672026
"ENSG00000065615",122.275919276121,-1.20166190492713,0.398172221011889,-3.01794510393845,0.00254495001361843,0.308510643317556
"ENSG00000112697",907.355109219682,-1.05819437470708,0.351025830919524,-3.01457693849796,0.00257337932479132,0.309712681470748
"ENSG00000151224",27.4812581270946,-4.11825482791338,1.36965312468797,-3.0067867211646,0.00264024933147243,0.31549093618716
"ENSG00000127589",589.73216585137,1.38775026904272,0.461915168440621,3.00434011233627,0.00266157610204479,0.315783734830548
"ENSG00000223501",842.624878700697,1.20686608980096,0.40268292732971,2.99706296913054,0.00272594400373538,0.32114307914429
"ENSG00000097021",719.567300967859,-1.2459193860627,0.417069432081378,-2.98731887361047,0.00281436006564131,0.324943769769178
"ENSG00000175040",53.2314574936451,-3.21359729388277,1.07602700569204,-2.98653962854395,0.00282154266438707,0.324943769769178
"ENSG00000136826",94.7705179879744,2.0644788417506,0.691620649387755,2.98498728107402,0.00283590115286628,0.324943769769178
"ENSG00000159403",253.538868494347,-3.26159089679317,1.09137325840112,-2.98852007934613,0.00280332079651813,0.324943769769178
"ENSG00000151364",20.2355289531069,-2.34757744899555,0.788456795062031,-2.97743321345953,0.00290672966165603,0.32635356046875
"ENSG00000185567",377.021600665958,2.03599272005701,0.68350041937663,2.9787731833638,0.00289404920022176,0.32635356046875
"ENSG00000149599",121.818375468732,-1.52469130421216,0.511716285801407,-2.97956376710644,0.00288659141831948,0.32635356046875
"ENSG00000232677",236.604229473429,1.19912554262643,0.403223400623569,2.973849089046,0.00294089672800962,0.32798840908582
"ENSG00000115318",21.8950523110097,-2.62568944372602,0.883598189749734,-2.97158762227625,0.00296264321009481,0.328225551401828
"ENSG00000027697",306.009158747522,-1.28002621729924,0.431733278650389,-2.96485418335284,0.00302826429197076,0.333288377239335
"ENSG00000198756",29.5070138644557,2.25093882346039,0.761761972972992,2.95491098705736,0.00312759273501417,0.341970580810797
"ENSG00000173376",11.4292961899686,-4.25366922173438,1.44320299148105,-2.9473811008174,0.00320477969933989,0.34470071623363
"ENSG00000120253",306.253686442133,-0.948579163160185,0.321938974403845,-2.94645643608926,0.00321437693421282,0.34470071623363
"ENSG00000266554",380.136294180235,-3.47125991470998,1.17696110747001,-2.9493412251929,0.00318452156695433,0.34470071623363
"ENSG00000137124",1646.97224863143,-1.82933931367638,0.622307109213516,-2.9396085736323,0.00328627111214903,0.350165792580517
"ENSG00000187957",69.7084267911525,2.91925739836472,0.993892396638745,2.93719663037708,0.00331194035768729,0.350667406606017
"ENSG00000251562",9803.50125319007,1.73788188358562,0.592809945007076,2.93160041970091,0.00337220323068986,0.353739173889731
"ENSG00000249345",25.607553309972,3.39699347399166,1.15915194997674,2.93058513515836,0.00338324274148825,0.353739173889731
"ENSG00000235749",16.7621021901278,1.82426240512119,0.624236394402378,2.92239033398184,0.00347355920934505,0.356755159297507
